交易日期,组合名称,组合代码,行业名称,行业市值,组合总净值,行业集中度(%),行业分类
2019-12-12,ESG100,000042,银行,121548065.75,791572671.84,15.4,一级行业分类
2019-12-12,ESG100,000042,交通运输,63048514.1875,791572671.84,8.0,一级行业分类
2019-12-12,ESG100,000042,建筑装饰,54590349.25,791572671.84,6.9,一级行业分类
2019-12-12,ESG100,000042,非银金融,54552979.625,791572671.84,6.9,一级行业分类
2019-12-12,ESG100,000042,医药生物,50982155.601867996,791572671.84,6.4,一级行业分类
2019-12-12,ESG100,000042,食品饮料,39813768.610008,791572671.84,5.0,一级行业分类
2019-12-12,ESG100,000042,汽车,32353412.863281,791572671.84,4.1,一级行业分类
2019-12-12,ESG100,000042,房地产,29995031.75,791572671.84,3.8,一级行业分类
2019-12-12,ESG100,000042,公用事业,29047579.469543,791572671.84,3.7,一级行业分类
2019-12-12,ESG100,000042,采掘,28850298.59375,791572671.84,3.6,一级行业分类
2019-12-12,ESG100,000042,电子,27382788.350006,791572671.84,3.5,一级行业分类
2019-12-12,ESG100,000042,有色金属,26704881.388125,791572671.84,3.4,一级行业分类
2019-12-12,ESG100,000042,家用电器,22731042.0,791572671.84,2.9,一级行业分类
2019-12-12,ESG100,000042,化工,21659199.382812,791572671.84,2.7,一级行业分类
2019-12-12,ESG100,000042,机械设备,20011333.40625,791572671.84,2.5,一级行业分类
2019-12-12,ESG100,000042,电气设备,17949954.875,791572671.84,2.3,一级行业分类
2019-12-12,ESG100,000042,计算机,18145082.427500002,791572671.84,2.3,一级行业分类
2019-12-12,ESG100,000042,通信,14768628.0,791572671.84,1.9,一级行业分类
2019-12-12,ESG100,000042,商业贸易,10829725.358765,791572671.84,1.4,一级行业分类
2019-12-12,ESG100,000042,国防军工,10250303.0,791572671.84,1.3,一级行业分类
2019-12-12,ESG100,000042,钢铁,8679437.0,791572671.84,1.1,一级行业分类
2019-12-12,ESG100,000042,传媒,2319580.4375,791572671.84,0.3,一级行业分类
2019-12-12,ESG100,000042,建筑材料,1050083.0,791572671.84,0.1,一级行业分类
2019-12-12,ESG100,000042,农林牧渔,28110.220703,791572671.84,0.0,一级行业分类
2019-12-12,ESG100,000042,纺织服装,309.0,791572671.84,0.0,一级行业分类
2019-12-12,ESG100,000042,轻工制造,321932.96875,791572671.84,0.0,一级行业分类
2019-12-12,ESG100,000042,银行Ⅱ,121548065.75,791572671.84,15.4,二级行业分类
2019-12-12,ESG100,000042,基础建设,36686569.0,791572671.84,4.6,二级行业分类
2019-12-12,ESG100,000042,证券Ⅱ,33618579.375,791572671.84,4.2,二级行业分类
2019-12-12,ESG100,000042,房地产开发Ⅱ,29995031.75,791572671.84,3.8,二级行业分类
2019-12-12,ESG100,000042,电力,29029417.169922,791572671.84,3.7,二级行业分类
2019-12-12,ESG100,000042,煤炭开采Ⅱ,23993250.59375,791572671.84,3.0,二级行业分类
2019-12-12,ESG100,000042,白色家电,22731042.0,791572671.84,2.9,二级行业分类
2019-12-12,ESG100,000042,食品加工,21861296.389999,791572671.84,2.8,二级行业分类
2019-12-12,ESG100,000042,汽车整车,21231219.5,791572671.84,2.7,二级行业分类
2019-12-12,ESG100,000042,保险Ⅱ,20934400.25,791572671.84,2.6,二级行业分类
2019-12-12,ESG100,000042,工业金属,18287236.888125,791572671.84,2.3,二级行业分类
2019-12-12,ESG100,000042,饮料制造,17952472.220009,791572671.84,2.3,二级行业分类
2019-12-12,ESG100,000042,计算机应用,16940482.427500002,791572671.84,2.1,二级行业分类
2019-12-12,ESG100,000042,物流Ⅱ,15723460.9375,791572671.84,2.0,二级行业分类
2019-12-12,ESG100,000042,生物制品Ⅱ,16135906.703125,791572671.84,2.0,二级行业分类
2019-12-12,ESG100,000042,港口Ⅱ,13944488.75,791572671.84,1.8,二级行业分类
2019-12-12,ESG100,000042,铁路运输Ⅱ,13426101.0,791572671.84,1.7,二级行业分类
2019-12-12,ESG100,000042,医药商业Ⅱ,12883877.039062,791572671.84,1.6,二级行业分类
2019-12-12,ESG100,000042,光学光电子,11737094.125,791572671.84,1.5,二级行业分类
2019-12-12,ESG100,000042,化学制品,11894183.606262,791572671.84,1.5,二级行业分类
2019-12-12,ESG100,000042,专用设备,11264652.40625,791572671.84,1.4,二级行业分类
2019-12-12,ESG100,000042,中药Ⅱ,11338792.25,791572671.84,1.4,二级行业分类
2019-12-12,ESG100,000042,汽车零部件Ⅱ,11122193.363281,791572671.84,1.4,二级行业分类
2019-12-12,ESG100,000042,通信运营Ⅱ,11035580.0,791572671.84,1.4,二级行业分类
2019-12-12,ESG100,000042,一般零售,10474817.96875,791572671.84,1.3,二级行业分类
2019-12-12,ESG100,000042,房屋建设Ⅱ,9339654.5,791572671.84,1.2,二级行业分类
2019-12-12,ESG100,000042,专业工程,8564125.75,791572671.84,1.1,二级行业分类
2019-12-12,ESG100,000042,稀有金属,8417644.5,791572671.84,1.1,二级行业分类
2019-12-12,ESG100,000042,运输设备Ⅱ,8407447.0,791572671.84,1.1,二级行业分类
2019-12-12,ESG100,000042,钢铁Ⅱ,8679437.0,791572671.84,1.1,二级行业分类
2019-12-12,ESG100,000042,高低压设备,8914539.0,791572671.84,1.1,二级行业分类
2019-12-12,ESG100,000042,航空运输Ⅱ,8030298.75,791572671.84,1.0,二级行业分类
2019-12-12,ESG100,000042,机场Ⅱ,7738972.75,791572671.84,1.0,二级行业分类
2019-12-12,ESG100,000042,电子制造Ⅱ,6896637.600006,791572671.84,0.9,二级行业分类
2019-12-12,ESG100,000042,航空装备Ⅱ,6288943.0,791572671.84,0.8,二级行业分类
2019-12-12,ESG100,000042,其他电子Ⅱ,5888820.0,791572671.84,0.7,二级行业分类
2019-12-12,ESG100,000042,化学制药,5193270.179993,791572671.84,0.7,二级行业分类
2019-12-12,ESG100,000042,化学纤维,4949309.549988,791572671.84,0.6,二级行业分类
2019-12-12,ESG100,000042,医疗服务Ⅱ,5011215.0,791572671.84,0.6,二级行业分类
2019-12-12,ESG100,000042,电气自动化设备,4762472.0,791572671.84,0.6,二级行业分类
2019-12-12,ESG100,000042,采掘服务Ⅱ,4857048.0,791572671.84,0.6,二级行业分类
2019-12-12,ESG100,000042,电源设备,4272943.875,791572671.84,0.5,二级行业分类
2019-12-12,ESG100,000042,航运Ⅱ,4185192.0,791572671.84,0.5,二级行业分类
2019-12-12,ESG100,000042,船舶制造Ⅱ,3705520.0,791572671.84,0.5,二级行业分类
2019-12-12,ESG100,000042,通信设备,3733048.0,791572671.84,0.5,二级行业分类
2019-12-12,ESG100,000042,半导体,2860236.625,791572671.84,0.4,二级行业分类
2019-12-12,ESG100,000042,石油化工,3352585.5,791572671.84,0.4,二级行业分类
2019-12-12,ESG100,000042,计算机设备Ⅱ,1204600.0,791572671.84,0.2,二级行业分类
2019-12-12,ESG100,000042,橡胶,1394703.0,791572671.84,0.2,二级行业分类
2019-12-12,ESG100,000042,医疗器械Ⅱ,419094.429688,791572671.84,0.1,二级行业分类
2019-12-12,ESG100,000042,文化传媒,1183744.0,791572671.84,0.1,二级行业分类
2019-12-12,ESG100,000042,水泥制造Ⅱ,963227.0,791572671.84,0.1,二级行业分类
2019-12-12,ESG100,000042,互联网传媒,766533.4375,791572671.84,0.1,二级行业分类
2019-12-12,ESG100,000042,燃气Ⅱ,17221.599609,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,纺织制造,309.0,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,畜禽养殖Ⅱ,28110.220703,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,玻璃制造Ⅱ,86856.0,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,环保工程及服务Ⅱ,940.700012,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,化学原料,68417.726562,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,家用轻工,286840.96875,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,地面兵装Ⅱ,255840.0,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,包装印刷Ⅱ,35092.0,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,仪器仪表Ⅱ,339234.0,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,专业零售,354907.390015,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,营销传播,369303.0,791572671.84,0.0,二级行业分类
2019-12-12,ESG100,000042,银行Ⅲ,121548065.75,791572671.84,15.4,三级行业分类
2019-12-12,ESG100,000042,证券Ⅲ,33618579.375,791572671.84,4.2,三级行业分类
2019-12-12,ESG100,000042,房地产开发Ⅲ,29995031.75,791572671.84,3.8,三级行业分类
2019-12-12,ESG100,000042,煤炭开采Ⅲ,23993250.59375,791572671.84,3.0,三级行业分类
2019-12-12,ESG100,000042,火电,22201807.669922,791572671.84,2.8,三级行业分类
2019-12-12,ESG100,000042,铁路建设,20984996.0,791572671.84,2.7,三级行业分类
2019-12-12,ESG100,000042,保险Ⅲ,20934400.25,791572671.84,2.6,三级行业分类
2019-12-12,ESG100,000042,白酒,17951781.5,791572671.84,2.3,三级行业分类
2019-12-12,ESG100,000042,铝,18151003.56,791572671.84,2.3,三级行业分类
2019-12-12,ESG100,000042,物流Ⅲ,15723460.9375,791572671.84,2.0,三级行业分类
2019-12-12,ESG100,000042,生物制品Ⅲ,16135906.703125,791572671.84,2.0,三级行业分类
2019-12-12,ESG100,000042,港口Ⅲ,13944488.75,791572671.84,1.8,三级行业分类
2019-12-12,ESG100,000042,铁路运输Ⅲ,13426101.0,791572671.84,1.7,三级行业分类
2019-12-12,ESG100,000042,商用载客车,13447271.0,791572671.84,1.7,三级行业分类
2019-12-12,ESG100,000042,医药商业Ⅲ,12883877.039062,791572671.84,1.6,三级行业分类
2019-12-12,ESG100,000042,水利工程,12594461.0,791572671.84,1.6,三级行业分类
2019-12-12,ESG100,000042,空调,12494288.0,791572671.84,1.6,三级行业分类
2019-12-12,ESG100,000042,LED,11737094.125,791572671.84,1.5,三级行业分类
2019-12-12,ESG100,000042,中药Ⅲ,11338792.25,791572671.84,1.4,三级行业分类
2019-12-12,ESG100,000042,汽车零部件Ⅲ,11122193.363281,791572671.84,1.4,三级行业分类
2019-12-12,ESG100,000042,通信运营Ⅲ,11035580.0,791572671.84,1.4,三级行业分类
2019-12-12,ESG100,000042,冰箱,10236754.0,791572671.84,1.3,三级行业分类
2019-12-12,ESG100,000042,超市,9292484.8125,791572671.84,1.2,三级行业分类
2019-12-12,ESG100,000042,调味发酵品,9877472.75,791572671.84,1.2,三级行业分类
2019-12-12,ESG100,000042,肉制品,9523618.0,791572671.84,1.2,三级行业分类
2019-12-12,ESG100,000042,房屋建设Ⅲ,9339654.5,791572671.84,1.2,三级行业分类
2019-12-12,ESG100,000042,IT服务,9795947.6875,791572671.84,1.2,三级行业分类
2019-12-12,ESG100,000042,工程机械,8994179.0,791572671.84,1.1,三级行业分类
2019-12-12,ESG100,000042,聚氨酯,9049703.0,791572671.84,1.1,三级行业分类
2019-12-12,ESG100,000042,铁路设备,8407447.0,791572671.84,1.1,三级行业分类
2019-12-12,ESG100,000042,高压设备,8914539.0,791572671.84,1.1,三级行业分类
2019-12-12,ESG100,000042,乘用车,7779712.5,791572671.84,1.0,三级行业分类
2019-12-12,ESG100,000042,机场Ⅲ,7738972.75,791572671.84,1.0,三级行业分类
2019-12-12,ESG100,000042,航空运输Ⅲ,8030298.75,791572671.84,1.0,三级行业分类
2019-12-12,ESG100,000042,电子系统组装,6824426.0,791572671.84,0.9,三级行业分类
2019-12-12,ESG100,000042,软件开发,7144534.74,791572671.84,0.9,三级行业分类
2019-12-12,ESG100,000042,航空装备Ⅲ,6288943.0,791572671.84,0.8,三级行业分类
2019-12-12,ESG100,000042,其他电子Ⅲ,5888820.0,791572671.84,0.7,三级行业分类
2019-12-12,ESG100,000042,普钢,5919993.0,791572671.84,0.7,三级行业分类
2019-12-12,ESG100,000042,化学制剂,4938709.179993,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,化学工程,4920752.0,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,医疗服务Ⅲ,5011215.0,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,水电,4605612.0,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,油气钻采服务,4857048.0,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,涤纶,4948333.25,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,电网自动化,4762472.0,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,稀土,4459234.0,791572671.84,0.6,三级行业分类
2019-12-12,ESG100,000042,通信传输设备,3733048.0,791572671.84,0.5,三级行业分类
2019-12-12,ESG100,000042,船舶制造Ⅲ,3705520.0,791572671.84,0.5,三级行业分类
2019-12-12,ESG100,000042,其他稀有小金属,3958410.5,791572671.84,0.5,三级行业分类
2019-12-12,ESG100,000042,航运Ⅲ,4185192.0,791572671.84,0.5,三级行业分类
2019-12-12,ESG100,000042,其他专业工程,3643373.75,791572671.84,0.5,三级行业分类
2019-12-12,ESG100,000042,石油加工,3352585.5,791572671.84,0.4,三级行业分类
2019-12-12,ESG100,000042,综合电力设备商,3412369.0,791572671.84,0.4,三级行业分类
2019-12-12,ESG100,000042,路桥施工,3107112.0,791572671.84,0.4,三级行业分类
2019-12-12,ESG100,000042,集成电路,2860236.625,791572671.84,0.4,三级行业分类
2019-12-12,ESG100,000042,其它专用机械,2052641.40625,791572671.84,0.3,三级行业分类
2019-12-12,ESG100,000042,热电,2221997.5,791572671.84,0.3,三级行业分类
2019-12-12,ESG100,000042,特钢,2759444.0,791572671.84,0.3,三级行业分类
2019-12-12,ESG100,000042,食品综合,2426908.639999,791572671.84,0.3,三级行业分类
2019-12-12,ESG100,000042,农药,1926427.200012,791572671.84,0.2,三级行业分类
2019-12-12,ESG100,000042,计算机设备Ⅲ,1204600.0,791572671.84,0.2,三级行业分类
2019-12-12,ESG100,000042,轮胎,1394703.0,791572671.84,0.2,三级行业分类
2019-12-12,ESG100,000042,百货,987702.875,791572671.84,0.1,三级行业分类
2019-12-12,ESG100,000042,风电设备,860574.875,791572671.84,0.1,三级行业分类
2019-12-12,ESG100,000042,移动互联网服务,439906.9375,791572671.84,0.1,三级行业分类
2019-12-12,ESG100,000042,水泥制造Ⅲ,963227.0,791572671.84,0.1,三级行业分类
2019-12-12,ESG100,000042,医疗器械Ⅲ,419094.429688,791572671.84,0.1,三级行业分类
2019-12-12,ESG100,000042,其他文化传媒,795366.0,791572671.84,0.1,三级行业分类
2019-12-12,ESG100,000042,其他化学制品,889359.40625,791572671.84,0.1,三级行业分类
2019-12-12,ESG100,000042,平面媒体,388378.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,营销服务,369303.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,纺织化学用品,2672.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,磷肥,1010.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,畜禽养殖Ⅲ,28110.220703,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,电子零部件制造,72211.600006,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,玻纤,25012.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,玻璃制造Ⅲ,86856.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,环保工程及服务Ⅲ,940.700012,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,燃气Ⅲ,17221.599609,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,氯碱,68417.726562,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,楼宇设备,217832.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,仪器仪表Ⅲ,339234.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,家具,286840.96875,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,多业态零售,194630.28125,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,地面兵装Ⅲ,255840.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,啤酒,690.720009,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,商用载货车,4236.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,印染,309.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,化学原料药,254561.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,包装印刷Ⅲ,35092.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,其他纤维,976.299988,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,互联网信息服务,326626.5,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,乳品,33297.0,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,专业连锁,354907.390015,791572671.84,0.0,三级行业分类
2019-12-12,ESG100,000042,铜,136233.328125,791572671.84,0.0,三级行业分类
